"Crude Oil Proved Reserves 2018"
"https://www.eia.gov/beta/international/rankings/#?prodact=57-6&cy=2018"
"Sun Oct 27 2019 18:53:18 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"Units: billion barrels"
,Ranking,Country,Value,Percent
,--,"Somalia",0,0
,--,"Sri Lanka",0,0
,--,"Swaziland",0,0
,--,"Sweden",0,0
,--,"Switzerland",0,0
,--,"Tanzania",0,0
,--,"Timor-Leste (East Timor)",0,0
,--,"Togo",0,0
,--,"Tonga",0,0
,--,"Turks and Caicos Islands",0,0
,--,"U.S. Pacific Islands",0,0
,--,"Uruguay",0,0
,--,"Vanuatu",0,0
,--,"Virgin Islands,  U.S.",0,0
,--,"Virgin Islands, British",0,0
,--,"Wake Island",0,0
,--,"Western Sahara",0,0
,--,"Zambia",0,0
,--,"Zimbabwe",0,0
