"Proved Reserves of Natural Gas 2017"
"https://www.eia.gov/beta/international/rankings/#?prodact=3-6&cy=2017&pid=3&aid=6&tl_id=6-A&tl_type=a"
"Sun Oct 27 2019 18:55:15 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"Units: Trillion Cubic Feet"
,Ranking,Country,Value,Percent
,71,"Ghana",0.8,0
,72,"Japan",0.7,0
,73,"Denmark",0.6,0
,74,"Slovakia",0.5,0
,74,"Uganda",0.5,0
,76,"Ecuador",0.4,0
,77,"Ireland",0.4,0
,78,"France",0.3,0
,79,"Georgia",0.3,0
,80,"Hungary",0.3,0
,81,"Korea, South",0.3,0
,82,"Austria",0.2,0
,83,"Tanzania",0.2,0
,84,"Taiwan",0.2,0
,85,"Jordan",0.2,0
,86,"Bulgaria",0.2,0
,86,"Kyrgyzstan",0.2,0
,86,"Somalia",0.2,0
,86,"Tajikistan",0.2,0
,90,"Czech Republic",0.1,0
,91,"Turkey",0.1,0
,92,"Belarus",0.1,0
,--,"Spain",(s),0
,--,"Morocco",(s),0
,--,"Benin",(s),0
,--,"Congo (Kinshasa)",(s),0
,--,"Greece",(s),0
,--,"Albania",(s),0
,--,"Barbados",(s),0
,--,"American Samoa",0,0
,--,"Antarctica",0,0
,--,"Antigua and Barbuda",0,0
,--,"Armenia",0,0
,--,"Aruba",0,0
,--,"Belgium",0,0
,--,"Bermuda",0,0
,--,"Bhutan",0,0
,--,"Bosnia and Herzegovina",0,0
,--,"Botswana",0,0
,--,"Burkina Faso",0,0
,--,"Burundi",0,0
,--,"Cambodia",0,0
,--,"Cape Verde",0,0
,--,"Cayman Islands",0,0
,--,"Central African Republic",0,0
,--,"Comoros",0,0
,--,"Cook Islands",0,0
,--,"Costa Rica",0,0
,--,"Cyprus",0,0
,--,"Djibouti",0,0
,--,"Dominica",0,0
,--,"Dominican Republic",0,0
,--,"El Salvador",0,0
,--,"Eritrea",0,0
,--,"Estonia",0,0
,--,"Falkland Islands (Islas Malvinas)",0,0
,--,"Faroe Islands",0,0
,--,"Fiji",0,0
,--,"Finland",0,0
,--,"French Guiana",0,0
,--,"French Polynesia",0,0
,--,"Gambia, The",0,0
,--,"Gibraltar",0,0
,--,"Greenland",0,0
,--,"Grenada",0,0
,--,"Guadeloupe",0,0
,--,"Guam",0,0
,--,"Guinea",0,0
,--,"Guinea-Bissau",0,0
,--,"Guyana",0,0
,--,"Haiti",0,0
,--,"Honduras",0,0
,--,"Hong Kong",0,0
,--,"Iceland",0,0
,--,"Jamaica",0,0
,--,"Kenya",0,0
,--,"Kiribati",0,0
,--,"Korea, North",0,0
,--,"Kosovo",0,0
,--,"Laos",0,0
,--,"Latvia",0,0
,--,"Lebanon",0,0
,--,"Lesotho",0,0
,--,"Liberia",0,0
,--,"Luxembourg",0,0
,--,"Macau",0,0
,--,"Macedonia",0,0
,--,"Malawi",0,0
,--,"Maldives",0,0
,--,"Mali",0,0
,--,"Malta",0,0
,--,"Martinique",0,0
,--,"Mauritius",0,0
,--,"Moldova",0,0
,--,"Mongolia",0,0
,--,"Montenegro",0,0
,--,"Montserrat",0,0
,--,"Nauru",0,0
,--,"Nepal",0,0
,--,"Netherlands Antilles",0,0
,--,"New Caledonia",0,0
,--,"Nicaragua",0,0
,--,"Niue",0,0
,--,"Palestinian Territories",0,0
,--,"Panama",0,0
,--,"Paraguay",0,0
,--,"Portugal",0,0
,--,"Puerto Rico",0,0
,--,"Reunion",0,0
,--,"Saint Helena",0,0
,--,"Saint Kitts and Nevis",0,0
,--,"Saint Lucia",0,0
,--,"Saint Pierre and Miquelon",0,0
,--,"Saint Vincent/Grenadines",0,0
,--,"Samoa",0,0
,--,"Sao Tome and Principe",0,0
,--,"Senegal",0,0
,--,"Seychelles",0,0
,--,"Sierra Leone",0,0
,--,"Singapore",0,0
,--,"Slovenia",0,0
,--,"Solomon Islands",0,0
,--,"Sri Lanka",0,0
,--,"Swaziland",0,0
,--,"Sweden",0,0
,--,"Timor-Leste (East Timor)",0,0
,--,"Togo",0,0
,--,"Tonga",0,0
,--,"Turks and Caicos Islands",0,0
,--,"U.S. Pacific Islands",0,0
,--,"Uruguay",0,0
,--,"Vanuatu",0,0
,--,"Virgin Islands,  U.S.",0,0
,--,"Virgin Islands, British",0,0
,--,"Wake Island",0,0
,--,"Western Sahara",0,0
,--,"Zambia",0,0
,--,"Zimbabwe",0,0
